WARN 2012-12-18 12:02:32,143 [com.fortify.server.configuration.ConfigurationMain] - Unconfigured property file found: AMConfig.properties
WARN 2012-12-18 12:34:58,782 [com.fortify.systemspec] - ========================== Fortify Context Startup =============================

INFO 2012-12-18 12:35:00,604 [com.fortify.server.configuration.db.DBUtil] - AbandonedObjectPool is used (org.apache.commons.dbcp.AbandonedObjectPool@17a35c)
   LogAbandoned: true
   RemoveAbandoned: true
   RemoveAbandonedTimeout: 3000


WARN 2012-12-18 12:35:09,647 [org.springframework.aop.framework.Cglib2AopProxy] - Unable to proxy method [public final void org.springframework.jdbc.core.support.JdbcDaoSupport.setDataSource(javax.sql.DataSource)] because it is final: All calls to this method via a proxy will be routed directly to the proxy.

WARN 2012-12-18 12:35:09,647 [org.springframework.aop.framework.Cglib2AopProxy] - Unable to proxy method [public final org.springframework.jdbc.core.JdbcTemplate org.springframework.jdbc.core.support.JdbcDaoSupport.getJdbcTemplate()] because it is final: All calls to this method via a proxy will be routed directly to the proxy.

WARN 2012-12-18 12:35:09,647 [org.springframework.aop.framework.Cglib2AopProxy] - Unable to proxy method [public final javax.sql.DataSource org.springframework.jdbc.core.support.JdbcDaoSupport.getDataSource()] because it is final: All calls to this method via a proxy will be routed directly to the proxy.

WARN 2012-12-18 12:35:09,647 [org.springframework.aop.framework.Cglib2AopProxy] - Unable to proxy method [public final void org.springframework.jdbc.core.support.JdbcDaoSupport.setJdbcTemplate(org.springframework.jdbc.core.JdbcTemplate)] because it is final: All calls to this method via a proxy will be routed directly to the proxy.

WARN 2012-12-18 12:35:09,647 [org.springframework.aop.framework.Cglib2AopProxy] - Unable to proxy method [public final void org.springframework.dao.support.DaoSupport.afterPropertiesSet() throws java.lang.IllegalArgumentException,org.springframework.beans.factory.BeanInitializationException] because it is final: All calls to this method via a proxy will be routed directly to the proxy.

WARN 2012-12-18 12:35:09,988 [com.fortify.manager.service.EmailServiceImpl] - Exception loading certificates keystore as JKS: C:\perforce\internal\QA\testing\SSC\Tools\Config38\tempConfigDir\WEB-INF\Core\config\certificates\keystore (The system cannot find the path specified)

WARN 2012-12-18 12:35:09,988 [com.fortify.manager.service.EmailServiceImpl] - Exception loading certificates keystore as PKCS12: C:\perforce\internal\QA\testing\SSC\Tools\Config38\tempConfigDir\WEB-INF\Core\config\certificates\keystore (The system cannot find the path specified)

WARN 2012-12-18 12:35:09,988 [com.fortify.manager.service.EmailServiceImpl] - S/MIME messages cannot be sent from this server

WARN 2012-12-18 12:35:12,922 [org.springframework.aop.framework.Cglib2AopProxy] - Unable to proxy method [public final void org.springframework.jdbc.core.support.JdbcDaoSupport.setDataSource(javax.sql.DataSource)] because it is final: All calls to this method via a proxy will be routed directly to the proxy.

WARN 2012-12-18 12:35:12,922 [org.springframework.aop.framework.Cglib2AopProxy] - Unable to proxy method [public final org.springframework.jdbc.core.JdbcTemplate org.springframework.jdbc.core.support.JdbcDaoSupport.getJdbcTemplate()] because it is final: All calls to this method via a proxy will be routed directly to the proxy.

WARN 2012-12-18 12:35:12,922 [org.springframework.aop.framework.Cglib2AopProxy] - Unable to proxy method [public final javax.sql.DataSource org.springframework.jdbc.core.support.JdbcDaoSupport.getDataSource()] because it is final: All calls to this method via a proxy will be routed directly to the proxy.

WARN 2012-12-18 12:35:12,922 [org.springframework.aop.framework.Cglib2AopProxy] - Unable to proxy method [public final void org.springframework.jdbc.core.support.JdbcDaoSupport.setJdbcTemplate(org.springframework.jdbc.core.JdbcTemplate)] because it is final: All calls to this method via a proxy will be routed directly to the proxy.

WARN 2012-12-18 12:35:12,922 [org.springframework.aop.framework.Cglib2AopProxy] - Unable to proxy method [public final void org.springframework.dao.support.DaoSupport.afterPropertiesSet() throws java.lang.IllegalArgumentException,org.springframework.beans.factory.BeanInitializationException] because it is final: All calls to this method via a proxy will be routed directly to the proxy.

WARN 2012-12-18 12:35:13,122 [org.springframework.aop.framework.Cglib2AopProxy] - Unable to proxy method [public final void org.springframework.jdbc.core.support.JdbcDaoSupport.setDataSource(javax.sql.DataSource)] because it is final: All calls to this method via a proxy will be routed directly to the proxy.

WARN 2012-12-18 12:35:13,122 [org.springframework.aop.framework.Cglib2AopProxy] - Unable to proxy method [public final org.springframework.jdbc.core.JdbcTemplate org.springframework.jdbc.core.support.JdbcDaoSupport.getJdbcTemplate()] because it is final: All calls to this method via a proxy will be routed directly to the proxy.

WARN 2012-12-18 12:35:13,122 [org.springframework.aop.framework.Cglib2AopProxy] - Unable to proxy method [public final javax.sql.DataSource org.springframework.jdbc.core.support.JdbcDaoSupport.getDataSource()] because it is final: All calls to this method via a proxy will be routed directly to the proxy.

WARN 2012-12-18 12:35:13,122 [org.springframework.aop.framework.Cglib2AopProxy] - Unable to proxy method [public final void org.springframework.jdbc.core.support.JdbcDaoSupport.setJdbcTemplate(org.springframework.jdbc.core.JdbcTemplate)] because it is final: All calls to this method via a proxy will be routed directly to the proxy.

WARN 2012-12-18 12:35:13,122 [org.springframework.aop.framework.Cglib2AopProxy] - Unable to proxy method [public final void org.springframework.dao.support.DaoSupport.afterPropertiesSet() throws java.lang.IllegalArgumentException,org.springframework.beans.factory.BeanInitializationException] because it is final: All calls to this method via a proxy will be routed directly to the proxy.

WARN 2012-12-18 12:35:14,374 [org.springframework.aop.framework.Cglib2AopProxy] - Unable to proxy method [public final void org.springframework.ws.server.endpoint.adapter.MarshallingMethodEndpointAdapter.setMarshaller(org.springframework.oxm.Marshaller)] because it is final: All calls to this method via a proxy will be routed directly to the proxy.

WARN 2012-12-18 12:35:14,374 [org.springframework.aop.framework.Cglib2AopProxy] - Unable to proxy method [public final void org.springframework.ws.server.endpoint.adapter.MarshallingMethodEndpointAdapter.setUnmarshaller(org.springframework.oxm.Unmarshaller)] because it is final: All calls to this method via a proxy will be routed directly to the proxy.

WARN 2012-12-18 12:35:14,374 [org.springframework.aop.framework.Cglib2AopProxy] - Unable to proxy method [public final boolean org.springframework.ws.server.endpoint.adapter.AbstractMethodEndpointAdapter.supports(java.lang.Object)] because it is final: All calls to this method via a proxy will be routed directly to the proxy.

WARN 2012-12-18 12:35:14,374 [org.springframework.aop.framework.Cglib2AopProxy] - Unable to proxy method [public final void org.springframework.ws.server.endpoint.adapter.AbstractMethodEndpointAdapter.invoke(org.springframework.ws.context.MessageContext,java.lang.Object) throws java.lang.Exception] because it is final: All calls to this method via a proxy will be routed directly to the proxy.

WARN 2012-12-18 12:35:14,394 [org.springframework.aop.framework.Cglib2AopProxy] - Unable to proxy method [public final void org.springframework.ws.server.endpoint.adapter.MarshallingMethodEndpointAdapter.setMarshaller(org.springframework.oxm.Marshaller)] because it is final: All calls to this method via a proxy will be routed directly to the proxy.

WARN 2012-12-18 12:35:14,394 [org.springframework.aop.framework.Cglib2AopProxy] - Unable to proxy method [public final void org.springframework.ws.server.endpoint.adapter.MarshallingMethodEndpointAdapter.setUnmarshaller(org.springframework.oxm.Unmarshaller)] because it is final: All calls to this method via a proxy will be routed directly to the proxy.

WARN 2012-12-18 12:35:14,394 [org.springframework.aop.framework.Cglib2AopProxy] - Unable to proxy method [public final boolean org.springframework.ws.server.endpoint.adapter.AbstractMethodEndpointAdapter.supports(java.lang.Object)] because it is final: All calls to this method via a proxy will be routed directly to the proxy.

WARN 2012-12-18 12:35:14,394 [org.springframework.aop.framework.Cglib2AopProxy] - Unable to proxy method [public final void org.springframework.ws.server.endpoint.adapter.AbstractMethodEndpointAdapter.invoke(org.springframework.ws.context.MessageContext,java.lang.Object) throws java.lang.Exception] because it is final: All calls to this method via a proxy will be routed directly to the proxy.

WARN 2012-12-18 12:35:16,117 [org.springframework.security.intercept.AbstractSecurityInterceptor] - Could not validate configuration attributes as the ObjectDefinitionSource did not return a ConfigAttributeDefinition collection

WARN 2012-12-18 12:35:16,127 [com.fortify.manager.service.runtime.RuntimeControllerConnectionConfiguration] - Runtime integration disabled

ERROR 2012-12-18 12:35:18,650 [com.fortify.manager.DAL.migration.impl.MigrationManager36Impl] - com.ibm.db2.jcc.am.SqlException: [jcc][10120][11936][4.7.112] Invalid operation: Lob is closed. ERRORCODE=-4470, SQLSTATE=null

ERROR 2012-12-18 12:35:18,650 [com.fortify.manager.service.transaction.TransactionServiceImpl] - Migration of Migrate ProjectTemplate to ProjectTemplateFolder to version 3.6 failed.

com.fortify.manager.exception.FMUserInputException: Unable to parse the file, make sure this is a valid project template.
	at com.fortify.manager.DAL.migration.impl.MigrationManager36Impl$1.callBack(MigrationManager36Impl.java:75)
	at com.fortify.manager.BLL.migration.impl.AbstractMigrationManager$3.callBack(AbstractMigrationManager.java:105)
	at com.fortify.manager.service.transaction.TransactionServiceImpl.runInTransaction(TransactionServiceImpl.java:60)
	at com.fortify.manager.BLL.migration.impl.AbstractMigrationManager.runOneTimeTask(AbstractMigrationManager.java:99)
	at com.fortify.manager.DAL.migration.impl.MigrationManager36Impl.migrateProjectTemplate(MigrationManager36Impl.java:48)
	at com.fortify.manager.DAL.migration.impl.MigrationManager36Impl.preSeedingMigration(MigrationManager36Impl.java:39)
	at com.fortify.manager.BLL.impl.SeedManagerImpl.batchSeed(SeedManagerImpl.java:148)
	at com.fortify.manager.BLL.impl.SeedManagerImpl$$FastClassByCGLIB$$7c11a665.invoke(<generated>)
	at net.sf.cglib.proxy.MethodProxy.invoke(MethodProxy.java:191)
	at org.springframework.aop.framework.Cglib2AopProxy$CglibMethodInvocation.invokeJoinpoint(Cglib2AopProxy.java:688)
	at org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ReflectiveMethodInvocation.java:150)
	at org.springframework.aop.aspectj.MethodInvocationProceedingJoinPoint.proceed(MethodInvocationProceedingJoinPoint.java:80)
	at com.fortify.manager.logging.ExceptionInterceptor.aroundBll(ExceptionInterceptor.java:46)
	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
	at sun.reflect.NativeMethodAccessorImpl.invoke(Unknown Source)
	at sun.reflect.DelegatingMethodAccessorImpl.invoke(Unknown Source)
	at java.lang.reflect.Method.invoke(Unknown Source)
	at org.springframework.aop.aspectj.AbstractAspectJAdvice.invokeAdviceMethodWithGivenArgs(AbstractAspectJAdvice.java:621)
	at org.springframework.aop.aspectj.AbstractAspectJAdvice.invokeAdviceMethod(AbstractAspectJAdvice.java:610)
	at org.springframework.aop.aspectj.AspectJAroundAdvice.invoke(AspectJAroundAdvice.java:65)
	at org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ReflectiveMethodInvocation.java:172)
	at org.springframework.aop.interceptor.ExposeInvocationInterceptor.invoke(ExposeInvocationInterceptor.java:89)
	at org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ReflectiveMethodInvocation.java:172)
	at org.springframework.aop.framework.Cglib2AopProxy$DynamicAdvisedInterceptor.intercept(Cglib2AopProxy.java:621)
	at com.fortify.manager.BLL.impl.SeedManagerImpl$$EnhancerByCGLIB$$253b92d0.batchSeed(<generated>)
	at com.fortify.server.configuration.db.Seed.configureDB(Seed.java:107)
	at com.fortify.server.configuration.db.Seed.main(Seed.java:66)
